,000001.SZ
2017-01-03,104.7583
2017-01-04,104.7583
2017-01-05,104.7583
2017-01-06,104.7583
2017-01-09,104.7583
2017-01-10,104.7583
2017-01-11,104.7583
2017-01-12,104.7583
2017-01-13,104.7583
2017-01-16,104.7583
2017-01-17,104.7583
2017-01-18,104.7583
2017-01-19,104.7583
2017-01-20,104.7583
2017-01-23,104.7583
2017-01-24,104.7583
2017-01-25,104.7583
2017-01-26,104.7583
2017-02-03,104.7583
2017-02-06,104.7583
2017-02-07,104.7583
2017-02-08,104.7583
2017-02-09,104.7583
2017-02-10,104.7583
2017-02-13,104.7583
2017-02-14,104.7583
2017-02-15,104.7583
2017-02-16,104.7583
2017-02-17,104.7583
2017-02-20,104.7583
2017-02-21,104.7583
2017-02-22,104.7583
2017-02-23,104.7583
2017-02-24,104.7583
2017-02-27,104.7583
2017-02-28,104.7583
2017-03-01,104.7583
2017-03-02,104.7583
2017-03-03,104.7583
2017-03-06,104.7583
2017-03-07,104.7583
2017-03-08,104.7583
2017-03-09,104.7583
2017-03-10,104.7583
2017-03-13,104.7583
2017-03-14,104.7583
2017-03-15,104.7583
2017-03-16,104.7583
2017-03-17,104.7583
2017-03-20,104.7583
2017-03-21,104.7583
2017-03-22,104.7583
2017-03-23,104.7583
2017-03-24,104.7583
2017-03-27,104.7583
2017-03-28,104.7583
2017-03-29,104.7583
2017-03-30,104.7583
2017-03-31,104.7583
2017-04-05,104.7583
2017-04-06,104.7583
2017-04-07,104.7583
2017-04-10,104.7583
2017-04-11,104.7583
2017-04-12,104.7583
2017-04-13,104.7583
2017-04-14,104.7583
2017-04-17,104.7583
2017-04-18,104.7583
2017-04-19,104.7583
2017-04-20,104.7583
2017-04-21,104.7583
2017-04-24,104.7583
2017-04-25,104.7583
2017-04-26,104.7583
2017-04-27,104.7583
2017-04-28,104.7583
2017-05-02,104.7583
2017-05-03,104.7583
2017-05-04,104.7583
2017-05-05,104.7583
2017-05-08,104.7583
2017-05-09,104.7583
2017-05-10,104.7583
2017-05-11,104.7583
2017-05-12,104.7583
2017-05-15,104.7583
2017-05-16,104.7583
2017-05-17,104.7583
2017-05-18,104.7583
2017-05-19,104.7583
2017-05-22,104.7583
2017-05-23,104.7583
2017-05-24,104.7583
2017-05-25,104.7583
2017-05-26,104.7583
2017-05-31,104.7583
2017-06-01,104.7583
2017-06-02,104.7583
2017-06-05,104.7583
2017-06-06,104.7583
2017-06-07,104.7583
2017-06-08,104.7583
2017-06-09,104.7583
2017-06-12,104.7583
2017-06-13,104.7583
2017-06-14,104.7583
2017-06-15,104.7583
2017-06-16,104.7583
2017-06-19,104.7583
2017-06-20,104.7583
2017-06-21,104.7583
2017-06-22,104.7583
2017-06-23,104.7583
2017-06-26,104.7583
2017-06-27,104.7583
2017-06-28,104.7583
2017-06-29,104.7583
2017-06-30,104.7583
2017-07-03,104.7583
2017-07-04,104.7583
2017-07-05,104.7583
2017-07-06,104.7583
2017-07-07,104.7583
2017-07-10,104.7583
2017-07-11,104.7583
2017-07-12,104.7583
2017-07-13,104.7583
2017-07-14,104.7583
2017-07-17,104.7583
2017-07-18,104.7583
2017-07-19,104.7583
2017-07-20,104.7583
2017-07-21,106.3088
2017-07-24,106.3088
2017-07-25,106.3088
2017-07-26,106.3088
2017-07-27,106.3088
2017-07-28,106.3088
2017-07-31,106.3088
2017-08-01,106.3088
2017-08-02,106.3088
2017-08-03,106.3088
2017-08-04,106.3088
2017-08-07,106.3088
2017-08-08,106.3088
2017-08-09,106.3088
2017-08-10,106.3088
2017-08-11,106.3088
2017-08-14,106.3088
2017-08-15,106.3088
2017-08-16,106.3088
2017-08-17,106.3088
2017-08-18,106.3088
2017-08-21,106.3088
2017-08-22,106.3088
2017-08-23,106.3088
2017-08-24,106.3088
2017-08-25,106.3088
2017-08-28,106.3088
2017-08-29,106.3088
2017-08-30,106.3088
2017-08-31,106.3088
2017-09-01,106.3088
2017-09-04,106.3088
2017-09-05,106.3088
2017-09-06,106.3088
2017-09-07,106.3088
2017-09-08,106.3088
2017-09-11,106.3088
2017-09-12,106.3088
2017-09-13,106.3088
2017-09-14,106.3088
2017-09-15,106.3088
2017-09-18,106.3088
2017-09-19,106.3088
2017-09-20,106.3088
2017-09-21,106.3088
2017-09-22,106.3088
2017-09-25,106.3088
2017-09-26,106.3088
2017-09-27,106.3088
2017-09-28,106.3088
2017-09-29,106.3088
2017-10-09,106.3088
2017-10-10,106.3088
2017-10-11,106.3088
2017-10-12,106.3088
2017-10-13,106.3088
2017-10-16,106.3088
2017-10-17,106.3088
2017-10-18,106.3088
2017-10-19,106.3088
2017-10-20,106.3088
2017-10-23,106.3088
2017-10-24,106.3088
2017-10-25,106.3088
2017-10-26,106.3088
2017-10-27,106.3088
2017-10-30,106.3088
2017-10-31,106.3088
2017-11-01,106.3088
2017-11-02,106.3088
2017-11-03,106.3088
2017-11-06,106.3088
2017-11-07,106.3088
2017-11-08,106.3088
2017-11-09,106.3088
2017-11-10,106.3088
2017-11-13,106.3088
2017-11-14,106.3088
2017-11-15,106.3088
2017-11-16,106.3088
2017-11-17,106.3088
2017-11-20,106.3088
2017-11-21,106.3088
2017-11-22,106.3088
2017-11-23,106.3088
2017-11-24,106.3088
2017-11-27,106.3088
2017-11-28,106.3088
2017-11-29,106.3088
2017-11-30,106.3088
2017-12-01,106.3088
2017-12-04,106.3088
2017-12-05,106.3088
2017-12-06,106.3088
2017-12-07,106.3088
2017-12-08,106.3088
2017-12-11,106.3088
2017-12-12,106.3088
2017-12-13,106.3088
2017-12-14,106.3088
2017-12-15,106.3088
2017-12-18,106.3088
2017-12-19,106.3088
2017-12-20,106.3088
2017-12-21,106.3088
2017-12-22,106.3088
2017-12-25,106.3088
2017-12-26,106.3088
2017-12-27,106.3088
2017-12-28,106.3088
2017-12-29,106.3088
2018-01-02,106.3088
2018-01-03,106.3088
2018-01-04,106.3088
2018-01-05,106.3088
2018-01-08,106.3088
2018-01-09,106.3088
2018-01-10,106.3088
2018-01-11,106.3088
2018-01-12,106.3088
2018-01-15,106.3088
2018-01-16,106.3088
2018-01-17,106.3088
2018-01-18,106.3088
2018-01-19,106.3088
2018-01-22,106.3088
2018-01-23,106.3088
2018-01-24,106.3088
2018-01-25,106.3088
2018-01-26,106.3088
2018-01-29,106.3088
2018-01-30,106.3088
2018-01-31,106.3088
2018-02-01,106.3088
2018-02-02,106.3088
2018-02-05,106.3088
2018-02-06,106.3088
2018-02-07,106.3088
2018-02-08,106.3088
2018-02-09,106.3088
2018-02-12,106.3088
2018-02-13,106.3088
2018-02-14,106.3088
2018-02-22,106.3088
2018-02-23,106.3088
2018-02-26,106.3088
2018-02-27,106.3088
2018-02-28,106.3088
2018-03-01,106.3088
2018-03-02,106.3088
2018-03-05,106.3088
2018-03-06,106.3088
2018-03-07,106.3088
2018-03-08,106.3088
2018-03-09,106.3088
2018-03-12,106.3088
2018-03-13,106.3088
2018-03-14,106.3088
2018-03-15,106.3088
2018-03-16,106.3088
2018-03-19,106.3088
2018-03-20,106.3088
2018-03-21,106.3088
2018-03-22,106.3088
2018-03-23,106.3088
2018-03-26,106.3088
2018-03-27,106.3088
2018-03-28,106.3088
2018-03-29,106.3088
2018-03-30,106.3088
2018-04-02,106.3088
2018-04-03,106.3088
2018-04-04,106.3088
2018-04-09,106.3088
2018-04-10,106.3088
2018-04-11,106.3088
2018-04-12,106.3088
2018-04-13,106.3088
2018-04-16,106.3088
2018-04-17,106.3088
2018-04-18,106.3088
2018-04-19,106.3088
2018-04-20,106.3088
2018-04-23,106.3088
2018-04-24,106.3088
2018-04-25,106.3088
2018-04-26,106.3088
2018-04-27,106.3088
2018-05-02,106.3088
2018-05-03,106.3088
2018-05-04,106.3088
2018-05-07,106.3088
2018-05-08,106.3088
2018-05-09,106.3088
2018-05-10,106.3088
2018-05-11,106.3088
